src/data/CellArray.java:10:	The class 'CellArray' is suspected to be a Data Class (WOC=28.571%, NOPA=0, NOAM=4, WMC=11)
src/lifeGame/Main.java:26:	Avoid using redundant field initializer for 'generation'
src/lifeGame/Main.java:26:	Field comments are required
src/lifeGame/Main.java:26:	Found non-transient, non-static member. Please mark as transient or provide accessors.
src/lifeGame/Main.java:27:	Parameter 'titile' is not assigned and could be declared final
src/lifeGame/Main.java:27:	Public method and constructor comments are required
src/lifeGame/Main.java:34:	Overridable method 'initGUI' called during object construction
src/lifeGame/Main.java:40:	The method 'initGUI()' has a NCSS line count of 49.
src/lifeGame/Main.java:48:	Local variable 'label' could be declared final
src/lifeGame/Main.java:49:	Local variable 'textField' could be declared final
src/lifeGame/Main.java:51:	Local variable 'label1' could be declared final
src/lifeGame/Main.java:52:	Local variable 'textField1' could be declared final
src/lifeGame/Main.java:54:	Avoid variables with short names like b
src/lifeGame/Main.java:54:	Local variable 'b' could be declared final
src/lifeGame/Main.java:56:	Local variable 'label2' could be declared final
src/lifeGame/Main.java:84:	Avoid using for statements without curly braces
src/lifeGame/Main.java:84:	This statement should have braces
src/lifeGame/Main.java:86:	Avoid instantiating new objects inside loops
src/lifeGame/Main.java:87:	Avoid instantiating new objects inside loops
src/lifeGame/Main.java:88:	Potential violation of Law of Demeter (static property access)
src/lifeGame/Main.java:90:	Potential violation of Law of Demeter (method chain calls)
src/lifeGame/Main.java:90:	Potential violation of Law of Demeter (method chain calls)
src/lifeGame/Main.java:90:	Potential violation of Law of Demeter (method chain calls)
src/lifeGame/Main.java:91:	Potential violation of Law of Demeter (method chain calls)
src/lifeGame/Main.java:91:	Potential violation of Law of Demeter (method chain calls)
src/lifeGame/Main.java:95:	Potential violation of Law of Demeter (method chain calls)
src/lifeGame/Main.java:95:	Potential violation of Law of Demeter (method chain calls)
src/lifeGame/Main.java:95:	Potential violation of Law of Demeter (method chain calls)
src/lifeGame/Main.java:96:	Potential violation of Law of Demeter (method chain calls)
src/lifeGame/Main.java:96:	Potential violation of Law of Demeter (method chain calls)
src/lifeGame/Main.java:100:	Local variable 'timer' could be declared final
src/lifeGame/Main.java:104:	Avoid autogenerated methods to access private fields and methods of inner / outer classes
src/lifeGame/Main.java:104:	Avoid autogenerated methods to access private fields and methods of inner / outer classes
src/lifeGame/Main.java:105:	Avoid autogenerated methods to access private fields and methods of inner / outer classes
src/lifeGame/Main.java:106:	Avoid autogenerated methods to access private fields and methods of inner / outer classes
src/lifeGame/Main.java:107:	Avoid autogenerated methods to access private fields and methods of inner / outer classes
src/lifeGame/Main.java:108:	Avoid autogenerated methods to access private fields and methods of inner / outer classes
src/lifeGame/Main.java:109:	Avoid autogenerated methods to access private fields and methods of inner / outer classes
src/lifeGame/Main.java:109:	Potential violation of Law of Demeter (static property access)
src/lifeGame/Main.java:110:	Avoid autogenerated methods to access private fields and methods of inner / outer classes
src/lifeGame/Main.java:110:	Potential violation of Law of Demeter (method chain calls)
src/lifeGame/Main.java:110:	Potential violation of Law of Demeter (method chain calls)
src/lifeGame/Main.java:110:	Potential violation of Law of Demeter (method chain calls)
src/lifeGame/Main.java:113:	Avoid autogenerated methods to access private fields and methods of inner / outer classes
src/lifeGame/Main.java:113:	Potential violation of Law of Demeter (method chain calls)
src/lifeGame/Main.java:113:	Potential violation of Law of Demeter (method chain calls)
src/lifeGame/Main.java:113:	Potential violation of Law of Demeter (method chain calls)
src/lifeGame/Main.java:142:	Consider using varargs for methods or constructors which take an array the last parameter.
src/lifeGame/Main.java:142:	Document empty method body
src/lifeGame/Main.java:142:	Parameter 'btns' is not assigned and could be declared final
src/lifeGame/Main.java:142:	Public method and constructor comments are required
src/lifeGame/Main.java:145:	Consider using varargs for methods or constructors which take an array the last parameter.
src/lifeGame/Main.java:145:	Document empty method body
src/lifeGame/Main.java:145:	Parameter 'btns' is not assigned and could be declared final
src/lifeGame/Main.java:145:	Public method and constructor comments are required
src/lifeGame/Main.java:153:	Parameter 'args' is not assigned and could be declared final
src/lifeGame/Main.java:153:	Public method and constructor comments are required
src/service/GameService.java:5:	Avoid unused imports such as 'javax.swing.JFrame'
src/service/GameService.java:8:	All methods are static.  Consider using a utility class instead. Alternatively, you could add a private constructor or make the class abstract to silence this warning.
src/service/GameService.java:8:	Header comments are required
src/service/GameService.java:12:	Field comments are required
src/service/GameService.java:14:	Parameter 'col' is not assigned and could be declared final
src/service/GameService.java:14:	Parameter 'row' is not assigned and could be declared final
src/service/GameService.java:14:	Public method and constructor comments are required
src/service/GameService.java:15:	Local variable 'cells' could be declared final
src/service/GameService.java:18:	Avoid instantiating new objects inside loops
src/service/GameService.java:18:	Avoid variables with short names like r
src/service/GameService.java:18:	Local variable 'r' could be declared final
src/service/GameService.java:19:	Avoid variables with short names like a
src/service/GameService.java:19:	Local variable 'a' could be declared final
src/service/GameService.java:20:	Avoid using Literals in Conditional Statements
src/service/GameService.java:21:	Potential violation of Law of Demeter (static property access)
src/service/GameService.java:24:	Potential violation of Law of Demeter (static property access)
src/service/GameService.java:32:	Parameter 'cells' is not assigned and could be declared final
src/service/GameService.java:32:	Public method and constructor comments are required
src/service/GameService.java:32:	The method 'generate(CellArray)' has a NCSS line count of 13.
src/service/GameService.java:33:	Local variable 'nextCells' could be declared final
src/service/GameService.java:34:	Avoid using for statements without curly braces
src/service/GameService.java:34:	This statement should have braces
src/service/GameService.java:37:	Local variable 'count' could be declared final
src/service/GameService.java:38:	Avoid using Literals in Conditional Statements
src/service/GameService.java:39:	Potential violation of Law of Demeter (static property access)
src/service/GameService.java:41:	Potential violation of Law of Demeter (static property access)
src/service/GameService.java:42:	Potential violation of Law of Demeter (static property access)
src/service/GameService.java:45:	Potential violation of Law of Demeter (static property access)
src/service/GameService.java:55:	Avoid variables with short names like x
src/service/GameService.java:55:	Avoid variables with short names like y
src/service/GameService.java:55:	Parameter 'cells' is not assigned and could be declared final
src/service/GameService.java:55:	Parameter 'x' is not assigned and could be declared final
src/service/GameService.java:55:	Parameter 'y' is not assigned and could be declared final
src/service/GameService.java:55:	Public method and constructor comments are required
src/service/GameService.java:59:	Potential violation of Law of Demeter (method chain calls)
src/service/GameService.java:59:	Potential violation of Law of Demeter (method chain calls)
src/service/GameService.java:59:	Potential violation of Law of Demeter (static property access)
src/service/GameService.java:64:	Potential violation of Law of Demeter (static property access)
